relation_id,sentence_id,description,is_true,expectation,words,p_start,p_length,c_start,c_length
6733546@25_64-6733546@25_53,6733546@25,John Tesh-Datakey Corporation,,0.52,"{Digital,Caf,has,done,exclusive,development,for,General,Mills,"","",BMW,"","",Gramercy,Pictures,"","",Energizer,Batteries,"","",Sony/Tristar/Columbia,Pictures,"","",Pillsbury,"","",St.,Paul,Pioneer,Press,"","",Miller,Meester,Advertising,"","",3M,"","",20th,Century,Fox,"","",St.,Paul,Companies,"","",Minnesota,Zoo,"","",Trane,"","",Apple,Computer,"","",Delux,Corporation,"","",Datakey,Corporation,"","",SciFi,Channel,"","",Mystery,Science,Theater,3000,"","",John,Tesh,"","",Andersen,Windows,"","",Domino,'s,Pizza,"","",Land,O'Lakes,"","",Healthy,Choice,"","",GAMC,"","",AirTouch,"","",Navarre,Corporation,"","",and,Campbell,Mithun,Esty,.}",64,2,53,2
8236169@31_7-8236169@31_23,8236169@31,Jeptha Wade-Cleveland-Cliffs Iron Company,,0.632,"{One,key,merger,in,1890,"","",with,Jeptha,Wade,'s,Cliffs,Iron,Company,led,the,combined,firm,to,change,its,name,to,the,Cleveland-Cliffs,Iron,Company,.}",7,2,23,3
17180190@118_4-17180190@118_12,17180190@118,Warfield-War Shipping Administration,,0.634,"{After,the,``,President,Warfield,'',was,expropriated,in,1942,by,the,War,Shipping,Administration,for,national,defense,as,a,transport,during,World,War,II,"","",it,was,transferred,to,the,United,Kingdom,on,September,21,"","",1942,.}",4,1,12,3
1771772@33_0-1771772@33_6,1771772@33,Chapman-BG Group,,0.344,"{Chapman,continued,as,an,advisor,to,BG,Group,until,he,retired,in,June,2013,.}",0,1,6,2
27879579@12_12-27879579@12_32,27879579@12,OEIFMI Topaz-Alemar Ltd,,0.6,"{-LRB-,OEIFMI,Granat,"","",OEIFB,Sapfir,"","",OIF,Izumrud,index,MICEX,"","",OEIFMI,Topaz,"","",IMFS,Almaz,and,IUIBF,Ametist,-RRB-,"","",as,well,as,unit,trust,formerly,managed,by,Management,company,Alemar,Ltd,-LRB-,OEIF,Alemar,stock,fund,"","",OEIF,Alemar,bond,fund,"","",OEIFMI,Alemar,active,operations,-RRB-,.}",12,2,32,2
439959@43_0-439959@43_35,439959@43,Alpert-MTV,,0.486,"{Alpert,'s,band,was,featured,in,several,TV,specials,"","",each,one,usually,centered,on,visual,interpretations,of,the,songs,from,their,latest,album,essentially,an,early,type,of,music,videos,later,made,famous,by,MTV,.}",0,1,35,1
2540440@10_24-2540440@10_6,2540440@10,Ferdinand Waldo Demara-LaMennais College,,0.544,"{Walsh,University,was,first,founded,as,LaMennais,College,in,Alfred,"","",Maine,in,1951,by,the,Brothers,of,Christian,Instruction,on,an,idea,by,Ferdinand,Waldo,Demara,"","",who,was,then,posing,as,a,monk,"","",to,educate,young,men,as,brothers,and,teachers,.}",24,3,6,2
524231@230_68-524231@230_17,524231@230,Kappa Alpha Psi-Kappa,,0.518,"{Active,fraternities,at,NC,A&T,include,Alpha,Phi,Omega,"","",a,national,co-ed,community,service,fraternity,;,Kappa,Kappa,Psi,"","",a,national,honorary,Band,fraternity,;,and,Pershing,Rifles,"","",is,a,military,fraternal,organization,for,college-level,students,:,and,social,fraternities,Phi,Beta,Sigma,"","",the,oldest,Greek,lettered,organization,on,the,campus,"","",chartered,in,1915,;,Alpha,Phi,Alpha,"","",Iota,Phi,Theta,"","",Kappa,Alpha,Psi,"","",Lambda,Chi,Alpha,;,Phi,Mu,Alpha,Sinfonia,"","",a,collegiate,social,fraternity,for,men,with,a,special,interest,in,music,;,Omega,Psi,Phi,"","",and,Groove,Phi,Groove,.}",68,3,17,1
26679291@30_58-26679291@30_26,26679291@30,Johnnie Walker-Bacardi,,0.492,"{Boustead,built,a,reputation,as,one,of,the,most,sought-after,managing,agencies,of,the,Far,East,"","",and,distributed,and,marketed,brands,such,as,Baileys,"","",Bacardi,"","",Cadbury,'s,"","",Del,Monte,"","",Dornbracht,"","",Dow,Consumer,Products,"","",Dupont,Corian,"","",Gillette,"","",Hennessy,"","",Hisamitsu,Pharmaceutical,"","",Jacobs,Manufacturing,"","",Jim,Beam,"","",Jockey,"","",Johnnie,Walker,"","",Kao,"","",Lloyd,'s,"","",Maidenform,"","",Martini,&,Rossi,"","",Moet,&,Chandon,"","",Nestle,"","",Nissan,"","",Ovaltine,"","",Pedigree,"","",Poggenpohl,"","",Procter,&,Gamble,"","",Sandvik,"","",Shell,"","",Slazenger,"","",Smirnoff,"","",Speedo,"","",Suzuki,"","",Thomas,Cook,"","",Trebor,and,Villeroy,&,Boch,.}",58,2,26,1
1273695@17_33-1273695@17_7,1273695@17,Citro-Renault,,0.548,"{In,1997,"","",it,acquired,an,additional,Renault,5,assembly,line,from,SAIPA,"","",a,fellow,Iranian,manufacturer,"","",which,had,been,making,the,car,since,1980,as,a,replacement,for,the,Iranian-built,Citro,n,Dyane,.}",33,1,7,1
